,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Kahit Ayaw Mo Na","This Band",1977771,https://open.spotify.com/track/5V2AX2WTOHl2FKtftvisV6
2,"Pauwi Nako",PDL,1898797,https://open.spotify.com/track/2tzAN1L07SNwnOdgOEeuQr
3,Buwan,"juan karlos",1722034,https://open.spotify.com/track/5f9808hpiCpuNyqqdXmpF2
4,Sana,"I Belong to the Zoo",1696916,https://open.spotify.com/track/1X4l4i472kW5ofFP8Xo0x0
5,"Kung 'Di Rin Lang Ikaw","December Avenue",1542141,https://open.spotify.com/track/2BgD4nRyx9EZ5o8YEnjRSV
6,"Sa Ngalan Ng Pag-Ibig","December Avenue",1324752,https://open.spotify.com/track/00mBzIWv5gHOYxwuEJXjOG
7,"Love Someone","Lukas Graham",1243962,https://open.spotify.com/track/3id2EVGKc3eFAMn9nFnB0r
8,"Maybe The Night",Ben&Ben,1237156,https://open.spotify.com/track/1yDiru08Q6omDOGkZMPnei
9,"Kathang Isip",Ben&Ben,1147537,https://open.spotify.com/track/3WUEs51GpcvlgU7lehLgLh
10,"Malibu Nights",LANY,1131134,https://open.spotify.com/track/0Eqg0CQ7bK3RQIMPw1A7pl
11,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",1131102,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P
12,"7 rings","Ariana Grande",1127111,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
13,Bulong,"December Avenue",1103821,https://open.spotify.com/track/5nMKJJ5Rl6X1yn58aVeICO
14,"Hindi Na Nga","This Band",1070576,https://open.spotify.com/track/50hVyhZM4nvizfrQe38F3l
15,"thank u, next","Ariana Grande",1064907,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ
16,"Best Part (feat. Daniel Caesar)",H.E.R.,1031196,https://open.spotify.com/track/4OBZT9EnhYIV17t4pGw7ig
17,"Kahit Di Mo Alam","December Avenue",998754,https://open.spotify.com/track/6GIzDc4xBUeYHwubWwTrhC
18,"Balang Araw","I Belong to the Zoo",997784,https://open.spotify.com/track/5NXdUJ3Z2jhlp2u1cj6f7m
19,"Dancing With A Stranger (with Normani)","Sam Smith",975340,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki
