,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Pauwi Nako",PDL,1932803,https://open.spotify.com/track/2tzAN1L07SNwnOdgOEeuQr
2,"Kahit Ayaw Mo Na","This Band",1697197,https://open.spotify.com/track/5V2AX2WTOHl2FKtftvisV6
3,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",1649280,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P
4,Buwan,"juan karlos",1504753,https://open.spotify.com/track/5f9808hpiCpuNyqqdXmpF2
5,Sana,"I Belong to the Zoo",1429003,https://open.spotify.com/track/1X4l4i472kW5ofFP8Xo0x0
6,"Kung 'Di Rin Lang Ikaw","December Avenue",1306847,https://open.spotify.com/track/2BgD4nRyx9EZ5o8YEnjRSV
7,"Hindi Na Nga","This Band",1186118,https://open.spotify.com/track/50hVyhZM4nvizfrQe38F3l
8,"Missin You Crazy",Russ,1085470,https://open.spotify.com/track/4ve2uzqdwnHr20G5YgMMqr
9,"Maybe The Night",Ben&Ben,1073239,https://open.spotify.com/track/1yDiru08Q6omDOGkZMPnei
10,"i'm so tired...",Lauv,1066457,https://open.spotify.com/track/7COXchtUOMd6uIT6HvmRaI
11,"Sa Ngalan Ng Pag-Ibig","December Avenue",1040624,https://open.spotify.com/track/00mBzIWv5gHOYxwuEJXjOG
12,Bulong,"December Avenue",1033527,https://open.spotify.com/track/5nMKJJ5Rl6X1yn58aVeICO
13,"Best Part (feat. Daniel Caesar)",H.E.R.,986797,https://open.spotify.com/track/4OBZT9EnhYIV17t4pGw7ig
14,"Balang Araw","I Belong to the Zoo",983501,https://open.spotify.com/track/5NXdUJ3Z2jhlp2u1cj6f7m
15,"Love Someone","Lukas Graham",913360,https://open.spotify.com/track/3id2EVGKc3eFAMn9nFnB0r
16,"Malibu Nights",LANY,887394,https://open.spotify.com/track/0Eqg0CQ7bK3RQIMPw1A7pl
17,"7 rings","Ariana Grande",873167,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
18,Talk,Khalid,866141,https://open.spotify.com/track/0rTV5WefWd1J3OwIheTzxM
19,"thank u, next","Ariana Grande",865642,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ
20,"Dancing With A Stranger (with Normani)","Sam Smith",847146,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki
21,Sucker,"Jonas Brothers",818596,https://open.spotify.com/track/4y3OI86AEP6PQoDE6olYhO
22,"Kahit Di Mo Alam","December Avenue",781682,https://open.spotify.com/track/6GIzDc4xBUeYHwubWwTrhC
23,"Kathang Isip",Ben&Ben,781153,https://open.spotify.com/track/3WUEs51GpcvlgU7lehLgLh
24,"214 - From ""Alone/Together""","JM De Guzman",772647,https://open.spotify.com/track/0Fh6hgq979963fIxr2VBF2
25,Dalaga,ALLMO$T,747859,https://open.spotify.com/track/3sm9FJhwOjsdzrfRgIf1ZK
26,"Ikaw At Ako","Moira Dela Torre",730472,https://open.spotify.com/track/0gDRtumoR9ZrvAlnniToMz
27,2002,Anne-Marie,717865,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
28,"Without Me",Halsey,688912,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
29,"break up with your girlfriend, i'm bored","Ariana Grande",674589,https://open.spotify.com/track/4kV4N9D1iKVxx1KLvtTpjS
30,Happier,Marshmello,673284,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
31,"bad guy","Billie Eilish",658357,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
32,Undecided,"Chris Brown",654905,https://open.spotify.com/track/7uiBocndm12aKbsdnQ3Scx
33,comethru,"Jeremy Zucker",645776,https://open.spotify.com/track/18uwL0vNUanqZH0ro2QcOP
34,"'Di Na Babalik","This Band",644389,https://open.spotify.com/track/5S4T2Pdr8qhetF3UhkwuMj
35,"Beautiful (feat. Camila Cabello)",Bazzi,639676,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF
36,"Please Me","Cardi B",634344,https://open.spotify.com/track/0PG9fbaaHFHfre2gUVo7AN
37,"Girls Like You (feat. Cardi B)","Maroon 5",609606,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
38,"Who Do You Love","The Chainsmokers",591000,https://open.spotify.com/track/11cDEev79fPKi6uJCjUhu8
39,"Here With Me",Marshmello,589242,https://open.spotify.com/track/5icOoE6VgqFKohjWWNp0Ac
40,"Sweet but Psycho","Ava Max",558687,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
41,"Thick And Thin",LANY,502034,https://open.spotify.com/track/3D110t9ctcoOoylXsc3iR8
42,Weak,"Khel Pangilinan",497623,https://open.spotify.com/track/06cUybZMETs4i3yQO1f7p3
43,"Kapit - From ""Alone / Together""","Armi Millare",496375,https://open.spotify.com/track/02GtNoUv85fOPEaCTlpYzr
44,"'Di Na Muli","Janine Teñoso",496312,https://open.spotify.com/track/3VQb0rq27GPX92X53Ni1Lc
45,"My Bad",Khalid,492942,https://open.spotify.com/track/1DUSuNhF8P5vUGNPpQiZa5
46,Mundo,"IV Of Spades",488563,https://open.spotify.com/track/4u8RkgV6P4TLi89SmlUtv8
47,"I Like Me Better",Lauv,487852,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
48,Tagpuan,"Moira Dela Torre",486255,https://open.spotify.com/track/0ztDBQdQmdVZvorSmIjMih
49,"Close To Me (with Diplo) (feat. Swae Lee)","Ellie Goulding",466160,https://open.spotify.com/track/5JEx7HbmvHQQswJCsoo9rA
50,"달라달라 (DALLA DALLA)",ITZY,451703,https://open.spotify.com/track/0GU5GuJQQEnnREO2FxnVPT
51,"Pangako - Recorded at Kodama Studios, Philippines","Silent Sanctuary",445791,https://open.spotify.com/track/5CThcDR9mycL3TjNKQ2qFk
52,"Nobody Knows",Russ,403715,https://open.spotify.com/track/1pNAf6W7POwjOD8x8mWf8G
53,"I Can’t Get Enough (benny blanco, Selena Gomez, J Balvin, Tainy)","benny blanco",402875,https://open.spotify.com/track/1WSGTYKLEpKfNQYYW5Oymt
54,"Bagay Tayo",ALLMO$T,397036,https://open.spotify.com/track/3u9tIlAnygQGNJ5VuSvTfi
55,"Thru These Tears",LANY,395715,https://open.spotify.com/track/7GbAp0HKPQW7WnFJAzMoRk
56,"Pasensya Ka Na","Silent Sanctuary",354345,https://open.spotify.com/track/0YyM8aEdbjGfLWPn6fdcn7
57,"Naaalala Ka / Maging Sino Ka Man (Spotify Jams: OPM Love Songs - Recorded at Kodama Studios, Philippines)","Moira Dela Torre",354076,https://open.spotify.com/track/3efCao3RLbsz52LQ66o8Ac
58,"Sa Susunod Na Lang",PDL,344905,https://open.spotify.com/track/34ob61cxp34Sf7KHK6RnSU
59,"Say You Won't Let Go","James Arthur",339976,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
60,"Dalaga (Stripped)",ALLMO$T,338674,https://open.spotify.com/track/6gXaPCP95gh1hmjecbw4po
61,"Kung Wala Ka",Hale,337714,https://open.spotify.com/track/4JSDhJVmo2UqdF7nxbyenn
62,Sandali,Because,337683,https://open.spotify.com/track/1emnGTAsF4zSaWidgvK08I
63,Dahan,"December Avenue",337253,https://open.spotify.com/track/6BxJLJw228OY5BFerPGl7z
64,"wish you were gay","Billie Eilish",336235,https://open.spotify.com/track/3Fj47GNK2kUF0uaEDgXLaD
65,Tadhana,"Up Dharma Down",334807,https://open.spotify.com/track/6NFKf8vBApSvtzkapYmnVR
66,"Big Plans","Why Don't We",329109,https://open.spotify.com/track/6Yx181fZzA0YE2EkUsYruq
67,IDGAF,"Dua Lipa",324033,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
68,"Too Good At Goodbyes","Sam Smith",319705,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
69,Migraine,Moonstar88,314858,https://open.spotify.com/track/7sW3f7PqDV7BQ7qqeVBJIA
70,"Bakit Ba Ikaw","Michael Pangilinan",312713,https://open.spotify.com/track/0Vmk6Ebk4QBq7r0VAz2a6s
71,Nadarang,"Shanti Dope",312708,https://open.spotify.com/track/6LJ1p1h5EcMK4VPeCLDSoF
72,"Eastside (with Halsey & Khalid)","benny blanco",310360,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
73,"Filipina Girl","Billy Crawford",308594,https://open.spotify.com/track/66ZVMnlIAvGM6NIZJ3xweN
74,"This Feeling","The Chainsmokers",307943,https://open.spotify.com/track/4NBTZtAt1F13VvlSKe6KTl
75,SOLO,JENNIE,299602,https://open.spotify.com/track/2wVDWtLKXunswWecARNILj
76,Ex,Callalily,298510,https://open.spotify.com/track/0GHwNr0lqf8jpc9wesmnHo
77,Wow.,"Post Malone",294048,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP
78,Shallow,"Lady Gaga",290203,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
79,"Tell Me Where It Hurts",MYMP,287027,https://open.spotify.com/track/6C2nrsOlb3jOUGcJAmPrTA
80,"Hanggang Kailan - Umuwi Ka Na Baby","Orange & Lemons",285528,https://open.spotify.com/track/5UhpceEr5XmbVwyoIUIRnh
81,"Ang Huling El Bimbo",Eraserheads,282805,https://open.spotify.com/track/135ggzbjOogZ75IQ0LQi8r
82,"Kung Ayaw Mo Wag Mo - Recorded at Kodama Studios, Philippines","IV Of Spades",281868,https://open.spotify.com/track/0BEpSEV02FM1N5gcw2fsJC
83,"You Are The Reason","Calum Scott",280577,https://open.spotify.com/track/69vToJ9BMbbLlFZo7k7A7B
84,"Saturday Nights",Khalid,274439,https://open.spotify.com/track/5kfNriitmkNE8mUbZ7gbq8
85,"The Middle",Zedd,273994,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc
86,"DDU-DU DDU-DU",BLACKPINK,272932,https://open.spotify.com/track/2aI2k39nfa3KFsa4JclQzw
87,"Oks Lang","John Roa",271386,https://open.spotify.com/track/2wTxJWt2gA9a1Z94dTnPiI
88,"I Don't Wanna Love You Anymore",LANY,269886,https://open.spotify.com/track/7ArrTJ1LwcGAlEO65LUQ7i
89,Magbalik,Callalily,267933,https://open.spotify.com/track/5zMR44ZH4KVZj4FlhTj3SE
90,Better,Khalid,267169,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ
91,Leaves,Ben&Ben,266179,https://open.spotify.com/track/6wdCelHrPh7UfliNjwRTUv
92,"With a Smile","South Border",260916,https://open.spotify.com/track/6XmskR1cMfgys1W7dExmgi
93,"Let Me Down Slowly","Alec Benjamin",260611,https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d
94,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake",256881,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
95,"There's No Way (feat. Julia Michaels)",Lauv,250573,https://open.spotify.com/track/2hnxrRNzF74mdDzpQZQukQ
96,"Midnight Sky","Unique Salonga",248932,https://open.spotify.com/track/5eFzCfsj3d0yWumdEldZwL
97,"Way Back Home (feat. Conor Maynard) - Sam Feldt Edit",SHAUN,245462,https://open.spotify.com/track/1ZLrDPgR7mvuTco3rQK8Pk
98,"Rewrite The Stars","Zac Efron",245110,https://open.spotify.com/track/630sXRhIcfwr2e4RdNtjKN
99,Perfect,"Ed Sheeran",241552,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
100,"Don't Call Me Up",Mabel,239575,https://open.spotify.com/track/5WHTFyqSii0lmT9R21abT8
101,"The Day You Said Goodnight",Hale,232737,https://open.spotify.com/track/0HZ3OUVrGHxttD2EuHqRm3
