,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Pauwi Nako",PDL,1946354,https://open.spotify.com/track/2tzAN1L07SNwnOdgOEeuQr
2,"Kahit Ayaw Mo Na","This Band",1778900,https://open.spotify.com/track/5V2AX2WTOHl2FKtftvisV6
3,Sana,"I Belong to the Zoo",1626049,https://open.spotify.com/track/1X4l4i472kW5ofFP8Xo0x0
4,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",1495340,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P
5,Buwan,"juan karlos",1436376,https://open.spotify.com/track/5f9808hpiCpuNyqqdXmpF2
6,Dalaga,ALLMO$T,1337796,https://open.spotify.com/track/6fWTVk29yvFEqE5VY6Gslk
7,"Kung 'Di Rin Lang Ikaw","December Avenue",1299027,https://open.spotify.com/track/2BgD4nRyx9EZ5o8YEnjRSV
8,Bulong,"December Avenue",1182138,https://open.spotify.com/track/5nMKJJ5Rl6X1yn58aVeICO
9,"Hindi Na Nga","This Band",1169734,https://open.spotify.com/track/50hVyhZM4nvizfrQe38F3l
10,"Sa Ngalan Ng Pag-Ibig","December Avenue",1105746,https://open.spotify.com/track/00mBzIWv5gHOYxwuEJXjOG
11,"Maybe The Night",Ben&Ben,1093235,https://open.spotify.com/track/1yDiru08Q6omDOGkZMPnei
12,"Best Part (feat. Daniel Caesar)",H.E.R.,1084436,https://open.spotify.com/track/4OBZT9EnhYIV17t4pGw7ig
13,"Love Someone","Lukas Graham",1073157,https://open.spotify.com/track/3id2EVGKc3eFAMn9nFnB0r
14,"7 rings","Ariana Grande",1008200,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
15,"i'm so tired...",Lauv,972454,https://open.spotify.com/track/7COXchtUOMd6uIT6HvmRaI
16,"Malibu Nights",LANY,963786,https://open.spotify.com/track/0Eqg0CQ7bK3RQIMPw1A7pl
17,"thank u, next","Ariana Grande",945197,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ
18,"Balang Araw","I Belong to the Zoo",933021,https://open.spotify.com/track/5NXdUJ3Z2jhlp2u1cj6f7m
19,"Missin You Crazy",Russ,889976,https://open.spotify.com/track/4ve2uzqdwnHr20G5YgMMqr
20,"Dancing With A Stranger (with Normani)","Sam Smith",873099,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki
