,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Kahit Ayaw Mo Na","This Band",2024229,https://open.spotify.com/track/5V2AX2WTOHl2FKtftvisV6
2,"Kung 'Di Rin Lang Ikaw","December Avenue",1987482,https://open.spotify.com/track/2BgD4nRyx9EZ5o8YEnjRSV
3,Sana,"I Belong to the Zoo",1832688,https://open.spotify.com/track/1X4l4i472kW5ofFP8Xo0x0
4,Buwan,"juan karlos",1775822,https://open.spotify.com/track/5f9808hpiCpuNyqqdXmpF2
5,"Sa Ngalan Ng Pag-Ibig","December Avenue",1523474,https://open.spotify.com/track/00mBzIWv5gHOYxwuEJXjOG
6,"Kathang Isip",Ben&Ben,1423619,https://open.spotify.com/track/3WUEs51GpcvlgU7lehLgLh
7,"Love Someone","Lukas Graham",1355183,https://open.spotify.com/track/3id2EVGKc3eFAMn9nFnB0r
8,"7 rings","Ariana Grande",1337865,https://open.spotify.com/track/14msK75pk3pA33pzPVNtBF
9,"thank u, next","Ariana Grande",1290902,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH
10,"Maybe The Night",Ben&Ben,1287988,https://open.spotify.com/track/1yDiru08Q6omDOGkZMPnei
11,Bulong,"December Avenue",1208569,https://open.spotify.com/track/5nMKJJ5Rl6X1yn58aVeICO
12,"Malibu Nights",LANY,1164869,https://open.spotify.com/track/0Eqg0CQ7bK3RQIMPw1A7pl
13,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",1109375,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P
14,"Hindi Na Nga","This Band",1063510,https://open.spotify.com/track/50hVyhZM4nvizfrQe38F3l
15,"Pauwi Nako",PDL,1038569,https://open.spotify.com/track/2tzAN1L07SNwnOdgOEeuQr
16,Happier,Marshmello,1019449,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
17,"Dancing With A Stranger (with Normani)","Sam Smith",977908,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki
18,"Without Me",Halsey,926157,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
19,"Best Part (feat. Daniel Caesar)",H.E.R.,911704,https://open.spotify.com/track/4OBZT9EnhYIV17t4pGw7ig
20,"Kahit Di Mo Alam","December Avenue",903200,https://open.spotify.com/track/6GIzDc4xBUeYHwubWwTrhC
21,2002,Anne-Marie,864165,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
22,"Ikaw At Ako","Moira Dela Torre",864096,https://open.spotify.com/track/0gDRtumoR9ZrvAlnniToMz
23,"Girls Like You (feat. Cardi B)","Maroon 5",858465,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
24,Undecided,"Chris Brown",857864,https://open.spotify.com/track/7uiBocndm12aKbsdnQ3Scx
25,"Balang Araw","I Belong to the Zoo",802005,https://open.spotify.com/track/5NXdUJ3Z2jhlp2u1cj6f7m
26,Tagpuan,"Moira Dela Torre",778720,https://open.spotify.com/track/0ztDBQdQmdVZvorSmIjMih
27,"Beautiful (feat. Camila Cabello)",Bazzi,777562,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF
28,"i'm so tired...",Lauv,754820,https://open.spotify.com/track/7COXchtUOMd6uIT6HvmRaI
29,"'Di Na Muli","Janine Teñoso",717137,https://open.spotify.com/track/3VQb0rq27GPX92X53Ni1Lc
30,Weak,"Khel Pangilinan",712383,https://open.spotify.com/track/06cUybZMETs4i3yQO1f7p3
31,Mundo,"IV Of Spades",708284,https://open.spotify.com/track/4u8RkgV6P4TLi89SmlUtv8
32,Ex,Callalily,690455,https://open.spotify.com/track/0GHwNr0lqf8jpc9wesmnHo
33,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake",679815,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
34,"Thru These Tears",LANY,676077,https://open.spotify.com/track/7GbAp0HKPQW7WnFJAzMoRk
35,Wow.,"Post Malone",646864,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP
36,SOLO,JENNIE,644048,https://open.spotify.com/track/2wVDWtLKXunswWecARNILj
37,"Eastside (with Halsey & Khalid)","benny blanco",641628,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
38,"Close To Me (with Diplo) (feat. Swae Lee)","Ellie Goulding",639875,https://open.spotify.com/track/5JEx7HbmvHQQswJCsoo9rA
