,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Kung 'Di Rin Lang Ikaw","December Avenue",1644621,https://open.spotify.com/track/2BgD4nRyx9EZ5o8YEnjRSV
2,"Sa Ngalan Ng Pag-Ibig","December Avenue",1162557,https://open.spotify.com/track/00mBzIWv5gHOYxwuEJXjOG
3,"Kathang Isip",Ben&Ben,1121662,https://open.spotify.com/track/3WUEs51GpcvlgU7lehLgLh
4,"Thru These Tears",LANY,990435,https://open.spotify.com/track/4gB61mP4tNChn4LgfquMhi
5,Mundo,"IV Of Spades",953695,https://open.spotify.com/track/4u8RkgV6P4TLi89SmlUtv8
6,"Beautiful (feat. Camila Cabello)",Bazzi,916262,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF
7,"'Di Na Muli","Janine Teñoso",901775,https://open.spotify.com/track/3VQb0rq27GPX92X53Ni1Lc
8,"Girls Like You (feat. Cardi B)","Maroon 5",896651,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
9,Sana,"I Belong to the Zoo",863015,https://open.spotify.com/track/1X4l4i472kW5ofFP8Xo0x0
10,2002,Anne-Marie,859014,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
11,"Eastside (with Halsey & Khalid)","benny blanco",849983,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
12,Happier,Marshmello,813473,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
13,"No Brainer","DJ Khaled",773041,https://open.spotify.com/track/5WvAo7DNuPRmk4APhdPzi8
14,"Kahit Maputi Na Ang Buhok ko - From ""The Hows Of Us""","Moira Dela Torre",755509,https://open.spotify.com/track/7aW2GrNlteWTwQZxX6LNjT
15,"In My Feelings",Drake,704575,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
16,"I Don't Wanna Love You Anymore",LANY,689475,https://open.spotify.com/track/1NEV2pt7AJSHWadhfCZ48t
17,IDGAF,"Dua Lipa",686667,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
18,"Be Alright","Dean Lewis",680081,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
19,"Love Someone","Lukas Graham",678263,https://open.spotify.com/track/2JqnpexlO9dmvjUMCaLCLJ
20,Better,Khalid,664021,https://open.spotify.com/track/4T3fNx3CgwDRRYgmFCbD4J
21,"8 Letters","Why Don't We",632964,https://open.spotify.com/track/4zRZAmBQP8vhNPf9i9opXt
22,Akala,Marion,626723,https://open.spotify.com/track/2Gh039ZAfydrM5IjiGlvEj
23,"Maybe The Night",Ben&Ben,598710,https://open.spotify.com/track/1yDiru08Q6omDOGkZMPnei
24,Tagpuan,"Moira Dela Torre",587375,https://open.spotify.com/track/0ztDBQdQmdVZvorSmIjMih
25,"Electricity (with Dua Lipa)","Silk City",576949,https://open.spotify.com/track/5N4erncE7kuUccm7zEmwzk
26,"Thick And Thin",LANY,532965,https://open.spotify.com/track/7qIICzwgm3eu1Ic3ufPGJf
27,"God is a woman","Ariana Grande",524814,https://open.spotify.com/track/5OCJzvD7sykQEKHH7qAC3C
28,"Freaky Friday (feat. Chris Brown)","Lil Dicky",510575,https://open.spotify.com/track/10Igtw8bSDyyFs7KIsKngZ
29,"You Are The Reason","Calum Scott",510569,https://open.spotify.com/track/69vToJ9BMbbLlFZo7k7A7B
30,breathin,"Ariana Grande",509717,https://open.spotify.com/track/4OafepJy2teCjYJbvFE60J
31,Ex,Callalily,505501,https://open.spotify.com/track/0GHwNr0lqf8jpc9wesmnHo
32,"Happy Now",Zedd,504028,https://open.spotify.com/track/4keoy2fqgwGnbWlm3ZVZFa
33,BAAM,MOMOLAND,482072,https://open.spotify.com/track/4Is1b37KJY9XVCgzp81FBW
34,"The Middle",Zedd,465714,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc
35,"Midnight Sky","Unique Salonga",463181,https://open.spotify.com/track/5eFzCfsj3d0yWumdEldZwL
36,"Bakit Ba Ikaw","Michael Pangilinan",459664,https://open.spotify.com/track/0Vmk6Ebk4QBq7r0VAz2a6s
37,13,LANY,441090,https://open.spotify.com/track/0WOvSEVpUGkNufX0w0M06F
38,"Don't Leave Me Alone (feat. Anne-Marie)","David Guetta",435017,https://open.spotify.com/track/2zy9TMoZlYGuCNY4TLqG24
39,Tadhana,"Up Dharma Down",431535,https://open.spotify.com/track/6NFKf8vBApSvtzkapYmnVR
40,Rise,"Jonas Blue",418016,https://open.spotify.com/track/3u1S1OmAUhx5DRlLrXqyp3
41,"Say You Won't Let Go","James Arthur",415049,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
42,"Oks Lang","John Roa",410912,https://open.spotify.com/track/2wTxJWt2gA9a1Z94dTnPiI
43,Bulong,"December Avenue",409725,https://open.spotify.com/track/5nMKJJ5Rl6X1yn58aVeICO
44,"I'm a Mess","Bebe Rexha",384213,https://open.spotify.com/track/04ZTP5KsCypmtCmQg5tH9R
45,"I Like Me Better",Lauv,382283,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
46,"Too Good At Goodbyes","Sam Smith",374973,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
47,Superhero,Lauv,364261,https://open.spotify.com/track/1Fo4OvzP9PThFKMeMIAEYu
48,"Hanggang Kailan - Umuwi Ka Na Baby","Orange & Lemons",361056,https://open.spotify.com/track/5UhpceEr5XmbVwyoIUIRnh
