,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Kahit Ayaw Mo Na","This Band",2041736,https://open.spotify.com/track/5V2AX2WTOHl2FKtftvisV6
2,"Kung 'Di Rin Lang Ikaw","December Avenue",1921630,https://open.spotify.com/track/2BgD4nRyx9EZ5o8YEnjRSV
3,Buwan,"juan karlos",1780298,https://open.spotify.com/track/5f9808hpiCpuNyqqdXmpF2
4,Sana,"I Belong to the Zoo",1513592,https://open.spotify.com/track/1X4l4i472kW5ofFP8Xo0x0
5,"Sa Ngalan Ng Pag-Ibig","December Avenue",1475303,https://open.spotify.com/track/00mBzIWv5gHOYxwuEJXjOG
6,"Pauwi Nako",PDL,1433156,https://open.spotify.com/track/2tzAN1L07SNwnOdgOEeuQr
7,"Love Someone","Lukas Graham",1333909,https://open.spotify.com/track/3id2EVGKc3eFAMn9nFnB0r
8,"Maybe The Night",Ben&Ben,1320647,https://open.spotify.com/track/1yDiru08Q6omDOGkZMPnei
9,"7 rings","Ariana Grande",1303915,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
10,"Kathang Isip",Ben&Ben,1265103,https://open.spotify.com/track/3WUEs51GpcvlgU7lehLgLh
11,"thank u, next","Ariana Grande",1227105,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ
12,"Hindi Na Nga","This Band",1201548,https://open.spotify.com/track/50hVyhZM4nvizfrQe38F3l
13,"Malibu Nights",LANY,1192579,https://open.spotify.com/track/0Eqg0CQ7bK3RQIMPw1A7pl
14,"Best Part (feat. Daniel Caesar)",H.E.R.,1163627,https://open.spotify.com/track/4OBZT9EnhYIV17t4pGw7ig
15,Bulong,"December Avenue",1097890,https://open.spotify.com/track/5nMKJJ5Rl6X1yn58aVeICO
16,"Ikaw At Ako","Moira Dela Torre",1088907,https://open.spotify.com/track/0gDRtumoR9ZrvAlnniToMz
17,"Dancing With A Stranger (with Normani)","Sam Smith",1038138,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki
18,"break up with your girlfriend, i'm bored","Ariana Grande",981113,https://open.spotify.com/track/4kV4N9D1iKVxx1KLvtTpjS
19,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",973680,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P
20,"214 - From ""Alone/Together""","JM De Guzman",946538,https://open.spotify.com/track/0Fh6hgq979963fIxr2VBF2
21,Happier,Marshmello,929307,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
22,"Without Me",Halsey,927843,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
23,"Kahit Di Mo Alam","December Avenue",924032,https://open.spotify.com/track/6GIzDc4xBUeYHwubWwTrhC
24,"Balang Araw","I Belong to the Zoo",923279,https://open.spotify.com/track/5NXdUJ3Z2jhlp2u1cj6f7m
25,2002,Anne-Marie,858720,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
26,"i'm so tired...",Lauv,838978,https://open.spotify.com/track/7COXchtUOMd6uIT6HvmRaI
27,Undecided,"Chris Brown",835840,https://open.spotify.com/track/7uiBocndm12aKbsdnQ3Scx
28,"Girls Like You (feat. Cardi B)","Maroon 5",833962,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
29,Talk,Khalid,802997,https://open.spotify.com/track/0rTV5WefWd1J3OwIheTzxM
30,Tagpuan,"Moira Dela Torre",799853,https://open.spotify.com/track/0ztDBQdQmdVZvorSmIjMih
31,"Beautiful (feat. Camila Cabello)",Bazzi,720367,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF
32,"Thru These Tears",LANY,710582,https://open.spotify.com/track/7GbAp0HKPQW7WnFJAzMoRk
33,"'Di Na Muli","Janine Teñoso",699774,https://open.spotify.com/track/3VQb0rq27GPX92X53Ni1Lc
34,Weak,"Khel Pangilinan",646284,https://open.spotify.com/track/06cUybZMETs4i3yQO1f7p3
35,Mundo,"IV Of Spades",634228,https://open.spotify.com/track/4u8RkgV6P4TLi89SmlUtv8
36,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake",629848,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
37,"Who Do You Love","The Chainsmokers",603073,https://open.spotify.com/track/11cDEev79fPKi6uJCjUhu8
38,"Eastside (with Halsey & Khalid)","benny blanco",595472,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
39,"You Are The Reason","Calum Scott",590823,https://open.spotify.com/track/69vToJ9BMbbLlFZo7k7A7B
40,SOLO,JENNIE,583691,https://open.spotify.com/track/2wVDWtLKXunswWecARNILj
41,"Sweet but Psycho","Ava Max",580712,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
42,"I Don't Wanna Love You Anymore",LANY,557047,https://open.spotify.com/track/7ArrTJ1LwcGAlEO65LUQ7i
43,"This Feeling","The Chainsmokers",548743,https://open.spotify.com/track/4NBTZtAt1F13VvlSKe6KTl
44,"Missin You Crazy",Russ,541686,https://open.spotify.com/track/4ve2uzqdwnHr20G5YgMMqr
45,Ex,Callalily,525137,https://open.spotify.com/track/0GHwNr0lqf8jpc9wesmnHo
46,"Close To Me (with Diplo) (feat. Swae Lee)","Ellie Goulding",524398,https://open.spotify.com/track/5JEx7HbmvHQQswJCsoo9rA
47,"Naaalala Ka / Maging Sino Ka Man (Spotify Jams: OPM Love Songs - Recorded at Kodama Studios, Philippines)","Moira Dela Torre",518349,https://open.spotify.com/track/3efCao3RLbsz52LQ66o8Ac
48,"Rewrite The Stars (with James Arthur & Anne-Marie)","James Arthur",508217,https://open.spotify.com/track/6mQLN3zRtAp6ovjusyYKrV
49,"Please Me","Cardi B",486913,https://open.spotify.com/track/0PG9fbaaHFHfre2gUVo7AN
50,"8 Letters","Why Don't We",478313,https://open.spotify.com/track/4zRZAmBQP8vhNPf9i9opXt
51,Dalaga,ALLMO$T,477324,https://open.spotify.com/track/6fWTVk29yvFEqE5VY6Gslk
52,"Kiss and Make Up","Dua Lipa",474293,https://open.spotify.com/track/13hvHEstJ4sNbzdroPrPI3
53,"달라달라 DALLA DALLA",ITZY,459782,https://open.spotify.com/track/6G7DuXoSGeAf6BZivJdEjF
54,"I Like Me Better",Lauv,457525,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
55,"Pasensya Ka Na","Silent Sanctuary",409197,https://open.spotify.com/track/0YyM8aEdbjGfLWPn6fdcn7
56,"bury a friend","Billie Eilish",401158,https://open.spotify.com/track/4NzMOnvSJVNKF7nw5NkXIP
57,"'Di Na Babalik","This Band",400203,https://open.spotify.com/track/5S4T2Pdr8qhetF3UhkwuMj
58,"Kung Wala Ka",Hale,398900,https://open.spotify.com/track/4JSDhJVmo2UqdF7nxbyenn
59,"Say You Won't Let Go","James Arthur",398511,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
60,"Dulo Ng Hangganan","IV Of Spades",390665,https://open.spotify.com/track/7h4W9blGxYCkKJ3dxPZ84j
61,Tadhana,"Up Dharma Down",389541,https://open.spotify.com/track/6NFKf8vBApSvtzkapYmnVR
62,Wow.,"Post Malone",383236,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP
63,Migraine,Moonstar88,364988,https://open.spotify.com/track/7sW3f7PqDV7BQ7qqeVBJIA
64,"Bakit Ba Ikaw","Michael Pangilinan",351009,https://open.spotify.com/track/0Vmk6Ebk4QBq7r0VAz2a6s
65,NASA,"Ariana Grande",348525,https://open.spotify.com/track/4SPu0Ql902hTVXkBoNIYtq
66,"Too Good At Goodbyes","Sam Smith",348524,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
67,IDGAF,"Dua Lipa",347940,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
68,Better,Khalid,347279,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ
69,"Thick And Thin",LANY,345154,https://open.spotify.com/track/3D110t9ctcoOoylXsc3iR8
70,Leaves,Ben&Ben,341643,https://open.spotify.com/track/6wdCelHrPh7UfliNjwRTUv
71,"Sa Dulo Ng Walang Hanggan - Sa Ngalan Ng Pag-Ibig Piano Version","December Avenue",341523,https://open.spotify.com/track/1mTROTnvFi7uxGciL319Kb
72,imagine,"Ariana Grande",339046,https://open.spotify.com/track/39LmTF9RgyakzSYX8txrow
73,"Hanggang Kailan - Umuwi Ka Na Baby","Orange & Lemons",338238,https://open.spotify.com/track/5UhpceEr5XmbVwyoIUIRnh
74,"Big Plans","Why Don't We",332813,https://open.spotify.com/track/6Yx181fZzA0YE2EkUsYruq
75,"DDU-DU DDU-DU",BLACKPINK,331614,https://open.spotify.com/track/2aI2k39nfa3KFsa4JclQzw
76,"Oks Lang","John Roa",320486,https://open.spotify.com/track/2wTxJWt2gA9a1Z94dTnPiI
77,"Way Back Home (feat. Conor Maynard) - Sam Feldt Edit",SHAUN,314645,https://open.spotify.com/track/1ZLrDPgR7mvuTco3rQK8Pk
78,"Ang Huling El Bimbo",Eraserheads,314634,https://open.spotify.com/track/135ggzbjOogZ75IQ0LQi8r
79,Magbalik,Callalily,314167,https://open.spotify.com/track/5zMR44ZH4KVZj4FlhTj3SE
80,"The Middle",Zedd,312861,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc
81,Sandali,Because,308126,https://open.spotify.com/track/1emnGTAsF4zSaWidgvK08I
82,"Tell Me Where It Hurts",MYMP,301289,https://open.spotify.com/track/6C2nrsOlb3jOUGcJAmPrTA
83,"Midnight Sky","Unique Salonga",301093,https://open.spotify.com/track/5eFzCfsj3d0yWumdEldZwL
84,"With a Smile","South Border",300046,https://open.spotify.com/track/6XmskR1cMfgys1W7dExmgi
85,Shallow,"Lady Gaga",298513,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
86,Akala,Marion,293702,https://open.spotify.com/track/2Gh039ZAfydrM5IjiGlvEj
87,needy,"Ariana Grande",293310,https://open.spotify.com/track/1TEL6MlSSVLSdhOSddidlJ
88,"Nights Like This (feat. Ty Dolla $ign)",Kehlani,288740,https://open.spotify.com/track/7e4KQkp5ZR1gXCAalRjX6B
89,365,Zedd,287446,https://open.spotify.com/track/2XWjPtKdi5sucFYtVav07d
90,Perfect,"Ed Sheeran",284248,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
91,"214 - Recorded at Kodama Studios, Philippines","Sarah Geronimo",283470,https://open.spotify.com/track/4MmPXbZ5w141AoRUCjYfuF
92,"Swan Song (From the Motion Picture ""Alita: Battle Angel"")","Dua Lipa",280481,https://open.spotify.com/track/5600nq7TiBraBX2jobyJ3l
93,"Rewrite The Stars","Zac Efron",279008,https://open.spotify.com/track/630sXRhIcfwr2e4RdNtjKN
